"Periodo","MontoTotal","MontoM","MontoH","NumeroTotal","NumeroM","NumeroH"
2017-01-01,13146734.6702,5954183.9687338,7192550.7014661,954919,514676.53565704,440242.46434295
2017-02-01,13104665.339699,5940880.9096069,7163784.430093,954055,514162.25954638,439892.74045361
2017-03-01,13091881.8772,5915201.7034237,7176680.1737762,955409,515217.62669457,440191.37330542
2017-04-01,13010512.5403,5879865.03012,7130647.5101799,952757,514280.64420211,438476.35579788
2017-05-01,13122279.837299,5946634.9703265,7175644.8669734,966635,521836.24211951,444798.75788048
2017-06-01,13095975.0083,5969355.6836495,7126619.3246504,963611,521436.36347883,442174.63652116
2017-07-01,13134301.885,5914879.8946525,7219421.9903474,969226,523692.98816128,445533.01183871
2017-08-01,13289897.7705,5922777.7017161,7367120.0687838,966742,523190.81644809,443551.1835519
2017-09-01,13293375.2323,5977200.040394,7316175.1919059,971801,526427.95212972,445373.04787027
2017-10-01,13690644.306699,6020323.1809857,7670321.1257142,975312,528818.00164609,446493.9983539
2017-11-01,13810492.7184,6048909.8210151,7761582.8973848,971285,526924.91603839,444360.0839616
2017-12-01,14283711.974,6187639.7445284,8096072.2294715,974616,528581.74798967,446034.25201032
2018-01-01,14064476.1437,6235295.0220992,7829181.1216007,974291,528710.27536795,445580.72463204
2018-02-01,14073572.532899,6254353.3435665,7819219.1893334,978547,531442.48917978,447104.51082021
2018-03-01,14122487.6844,6260125.3996102,7862362.2847897,995504,538901.97289873,456602.02710126
2018-04-01,14152247.4279,6303413.3706492,7848834.0572507,1001189,542755.80612679,458433.1938732
2018-05-01,14606190.4356,6400709.9743672,8205480.4612327,1025310,553931.93950598,471378.06049401
2018-06-01,14895631.3079,6618745.0691298,8276886.2387701,1035903,559684.54460383,476218.45539616
2018-07-01,14826388.1905,6690038.006307,8136350.1841929,1040949,563012.90073204,477936.09926795
2018-08-01,14999714.6591,6721238.7570902,8278475.9020097,1038578,562678.34240545,475899.65759454
2018-09-01,14943108.151999,6550217.3696675,8392890.7823324,1043916,565875.11984291,478040.88015708
2018-10-01,15192865.7752,6658850.8127077,8534014.9624922,1045807,567502.5854105,478304.41458949
2018-11-01,15477175.8152,6836591.4703063,8640584.3448936,1047188,567843.39118179,479344.6088182
2018-12-01,15864629.859299,6958195.0827314,8906434.7765685,1051605,569691.3884657,481913.61153429
2019-01-01,15915502.073199,7063163.004732,8852339.0684679,1062410,576431.32728645,485978.67271354
2019-02-01,15997269.812399,7118041.1843406,8879228.6280593,1069060,579526.14675901,489533.85324098
2019-03-01,16068174.1365,7190230.7372893,8877943.3992106,1086289,588211.65320814,498077.34679185
2019-04-01,16123242.7885,7183244.9931819,8939997.795318,1088673,590421.07697767,498251.92302232
2019-05-01,16318696.8806,7286247.8017004,9032449.0788995,1110967,602146.49812023,508820.50187976
2019-06-01,16125790.2228,7267665.2566307,8858124.9661692,1117035,606789.0658035,510245.93419649
2019-07-01,15941514.489799,7239231.1704583,8702283.3193416,1109736,604195.29342419,505540.7065758
2019-08-01,15721573.792,7164148.7063206,8557425.0856793,1099454,600819.45190895,498634.54809104
