"Periodo","Trabajo","Empleo","Desempleo"
2019-11-01,9722.0473316309,9045.3628648712,6.9603082938941
2019-12-01,9777.7515058871,9087.1323840464,7.0631690877494
2020-01-01,9848.6860637033,9115.641039495,7.4430743295789
2020-02-01,9831.2450270214,9063.3737370672,7.8105192968302
2020-03-01,9744.2293154691,8942.424519778,8.2285090973616
2020-04-01,9050.657950137,8235.9307920195,9.0018555844912
2020-05-01,8390.8832100052,7450.5225645242,11.206932833479
2020-06-01,8136.6987170241,7142.5682851834,12.217859680127
2020-07-01,8138.6394235759,7073.1925249337,13.091216396143
2020-08-01,8257.2097672124,7191.4135982541,12.907461467072
2020-09-01,8402.6373375368,7365.0552540326,12.34829068332
2020-10-01,8671.5704730726,7667.6593982938,11.577038760121
2020-11-01,8871.0760173646,7916.7236210867,10.758022977255
2020-12-01,8946.4800561464,8026.2166007514,10.286318749044
2021-01-01,9046.633788595,8121.4199958374,10.227160890761
2021-02-01,9105.9476253577,8167.623309441,10.304521336183
2021-03-01,9089.2937424389,8148.205568526,10.353809664207
2021-04-01,9029.1032951418,8104.1288069841,10.244367108474
2021-05-01,8938.2717516501,8041.1104714103,10.037301451191
2021-06-01,8884.9496070841,8041.1914145572,9.4964882170436
2021-07-01,8948.327795689,8148.9477948891,8.9332892027599
2021-08-01,9030.6784476998,8258.7752434176,8.5475660411635
2021-09-01,9111.081847642,8345.2397354882,8.4056111552988
2021-10-01,9199.5197090152,8456.5112535566,8.0766005069859
2021-11-01,9255.0498190351,8558.3621487674,7.527649055274
2021-12-01,9350.58381904,8678.2868056954,7.1898934478904
2022-01-01,9396.1261994664,8712.8901884523,7.271464819756
2022-02-01,9479.4643819231,8768.6446671999,7.4985219215408
2022-03-01,9541.6023505117,8797.561064269,7.7978651688704
2022-04-01,9577.4932698408,8835.4776322722,7.7474931765825
2022-05-01,9604.6183418149,8855.0758705985,7.8039797578749
2022-06-01,9587.345015051,8838.4320758244,7.8114737505625
2022-07-01,9610.9004185618,8849.8313266449,7.9188115449306
2022-08-01,9615.7656887998,8853.2931868608,7.9293997650867
2022-09-01,9616.7317913326,8843.5442081889,8.0400244066344
2022-10-01,9637.2562701293,8869.3230112416,7.9683805988207
2022-11-01,9650.164980646,8883.090434042,7.9488231355874
2022-12-01,9730.299380729,8965.2303799361,7.8627488308129
2023-01-01,9795.8633225843,9008.5458557934,8.0372443026616
2023-02-01,9854.7736324855,9030.1615912109,8.3676406179058
2023-03-01,9876.0771678725,9006.1450081268,8.808478760936
2023-04-01,9860.6310574468,9006.7291141666,8.6597088797411
2023-05-01,9876.1463656766,9034.2307928412,8.5247377029714
2023-06-01,9877.4192735815,9035.1139835172,8.5275846527762
2023-07-01,9896.8172533907,9028.6472601108,8.7722140467169
2023-08-01,9895.6181278261,9005.4428287419,8.9956512830772
2023-09-01,9906.4114938118,9023.452188197,8.913008571937
2023-10-01,9935.9432683572,9052.9887421411,8.8864690786627
2023-11-01,10012.773356842,9138.4167213042,8.732412133756
2023-12-01,10077.245924915,9223.1349041614,8.4756393474728
2024-01-01,10127.76750008,9273.4263972835,8.4356310785176
2024-02-01,10174.908427939,9309.6080943488,8.5042567185626
