"Periodo","Poblacion","FuerzaTotal","Ocupados","Desocupados","Cesantes","PrimeraVez","Inactivos"
2015-06-01,14252.332999999,8802.7785012298,8215.6134511849,587.16505004507,529.12450013483,58.040549910239,5449.5544987703
2015-07-01,14267.926,8810.3822194138,8220.8261441951,589.55607521867,537.47444867602,52.08162654265,5457.5437805865
2015-08-01,14283.926,8829.1192253721,8250.0612020428,579.05802332934,534.51827722778,44.539746101559,5454.8067746283
2015-09-01,14300.292999999,8883.3659597865,8302.0385166644,581.3274431221,536.4526548013,44.874788320798,5416.9270402138
2015-10-01,14317.039,8884.7102046404,8312.069401189,572.64080345143,526.81352516987,45.827278281563,5432.3287953602
2015-11-01,14333.482,8909.4332823264,8359.2915682528,550.14171407358,501.30388438567,48.837829687913,5424.0487176741
2015-12-01,14350.092,8954.1138764515,8428.4698548729,525.64402157863,468.55041930171,57.093602276911,5395.9781235489
2016-01-01,14366.762,8983.6699048439,8452.0669889961,531.60291584785,464.85454312622,66.748372721629,5383.0920951571
2016-02-01,14383.305492392,8958.7878901481,8417.1334698964,541.6629278595,473.0576437973,68.605284062206,5424.5176022443
2016-03-01,14399.681,8940.8793666352,8360.5716750241,580.30769161109,520.95939348201,59.348298129085,5458.8016333652
2016-04-01,14416.479000003,8968.6262755171,8376.2291567571,592.39711875994,534.98600947952,57.411109280416,5447.852724486
2016-05-01,14432.861000002,8981.4548073595,8350.3107227599,631.14408459963,572.09833410302,59.04575049661,5451.406192643
2016-06-01,14449.464000004,8966.7062614132,8337.4210017,629.28525971315,566.40378501146,62.881474701693,5482.7577385916
2016-07-01,14466.036000053,8989.5068459159,8336.2289330952,653.27791282055,595.08954107757,58.188371742985,5476.529154138
2016-08-01,14485.091000018,8967.2209418231,8333.1996445255,634.02129729765,581.87232168888,52.148975608772,5517.8700581955
2016-09-01,14506.329000021,9011.9890838865,8378.38137595,633.60770793648,584.26352793374,49.34418000274,5494.3399161348
2016-10-01,14527.620000014,8994.637847309,8393.7217258168,600.91612149215,556.88869615016,44.027425341994,5532.9821527052
2016-11-01,14548.817000021,9046.3705047838,8467.0967433407,579.27376144304,528.29233368089,50.981427762151,5502.4464952377
2016-12-01,14570.045000059,9062.6307242527,8500.7102151494,561.92050910334,502.77075924303,59.149749860311,5507.4142758063
2017-01-01,14591.337000037,9115.1282803275,8534.552022826,580.57625750147,505.89126104913,74.684996452341,5476.2087197103
2017-02-01,14612.643000021,9102.0297777807,8485.6996122452,616.33016553552,535.06487688878,81.265288646735,5510.6132222412
2017-03-01,14633.845000059,9127.0098842031,8484.4474920955,642.56239210753,564.8537609123,77.708631195233,5506.8351158566
2017-04-01,14655.169000395,9147.3515044111,8499.9039797776,647.44752463354,579.54884529885,67.898679334691,5507.8174959847
2017-05-01,14676.365000437,9209.9635281126,8535.2098449545,674.75368315814,611.7005194362,63.053163721936,5466.4014723247
2017-06-01,14697.658000967,9196.6431445451,8524.1368343171,672.50631022786,608.30724089683,64.199069331025,5501.0148564228
2017-07-01,14718.872000166,9201.4455483723,8537.3976049011,664.04794347118,602.5242229444,61.52372052678,5517.4264517944
